TimeRange	Country	Average	Count	P90	P95	Histogram
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Colombia	4423.9191697553742	67450	9932	14703	0-300:1166;300-600:1449;600-900:2912;900-1200:6029;1200-1500:5438;1500-1800:4477;1800-2100:3901;2100-2400:3648;2400-2700:3475;2700-3000:3125;3000-3300:2854;3300-3600:2591;3600-3900:2314;3900-4200:1982;4200-4500:1786;4500-4800:1522;4800-5100:1429;5100-5400:1213;5400-5700:1136;5700-6000:989;6000-6300:823;6300-6600:798;6600-6900:754;6900-7200:667;7200-7500:604;7500-7800:564;7800-8100:504;8100-8400:560;8400-8700:475;8700-9000:381;9000-9300:396;9300-9600:369;9600-9900:336;9900-10200:319;10200-10500:287;10500-10800:268;10800-11100:233;11100-11400:246;11400-11700:237;11700-12000:214;12000-12300:186;12300-12600:192;12600-12900:190;12900-13200:204;13200-13500:185;13500-13800:157;13800-14100:171;14100-14400:154;14400-14700:163;14700-15000:140;15000-15300:137;15300-15600:116;15600-15900:113;15900-16200:109;16200-16500:120;16500-16800:105;16800-17100:104;17100-17400:95;17400-17700:93;17700-18000:91;18000-18300:94;18300-18600:84;18600-18900:78;18900-19200:80;19200-19500:70;19500-19800:88;19800-20100:67;20100-20400:64;20400-20700:69;20700-21000:69;21000-21300:58;21300-21600:72;21600-21900:46;21900-22200:43;22200-22500:68;22500-22800:44;22800-23100:44;23100-23400:43;23400-23700:40;23700-24000:56;24000-24300:59;24300-24600:47;24600-24900:47;24900-25200:56;25200-25500:51;25500-25800:47;25800-26100:52;26100-26400:55;26400-26700:35;26700-27000:39;27000-27300:53;27300-27600:48;27600-27900:41;27900-28200:35;28200-28500:28;28500-28800:29;28800-29100:39;29100-29400:39;29400-29700:40;29700-30000:37
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Congo	25475.5	2	27597	27597	0-42.43:1;42.43-84.86:0;84.86-127.29:0;127.29-169.72:0;169.72-212.15:0;212.15-254.58:0;254.58-297.01:0;297.01-339.44:0;339.44-381.87:0;381.87-424.3:0;424.3-466.73:0;466.73-509.16:0;509.16-551.59:0;551.59-594.02:0;594.02-636.45:0;636.45-678.88:0;678.88-721.31:0;721.31-763.74:0;763.74-806.17:0;806.17-848.6:0;848.6-891.03:0;891.03-933.46:0;933.46-975.89:0;975.89-1018.32:0;1018.32-1060.75:0;1060.75-1103.18:0;1103.18-1145.61:0;1145.61-1188.04:0;1188.04-1230.47:0;1230.47-1272.9:0;1272.9-1315.33:0;1315.33-1357.76:0;1357.76-1400.19:0;1400.19-1442.62:0;1442.62-1485.05:0;1485.05-1527.48:0;1527.48-1569.91:0;1569.91-1612.34:0;1612.34-1654.77:0;1654.77-1697.2:0;1697.2-1739.63:0;1739.63-1782.06:0;1782.06-1824.49:0;1824.49-1866.92:0;1866.92-1909.35:0;1909.35-1951.78:0;1951.78-1994.21:0;1994.21-2036.64:0;2036.64-2079.07:0;2079.07-2121.5:0;2121.5-2163.93:0;2163.93-2206.36:0;2206.36-2248.79:0;2248.79-2291.22:0;2291.22-2333.65:0;2333.65-2376.08:0;2376.08-2418.51:0;2418.51-2460.94:0;2460.94-2503.37:0;2503.37-2545.8:0;2545.8-2588.23:0;2588.23-2630.66:0;2630.66-2673.09:0;2673.09-2715.52:0;2715.52-2757.95:0;2757.95-2800.38:0;2800.38-2842.81:0;2842.81-2885.24:0;2885.24-2927.67:0;2927.67-2970.1:0;2970.1-3012.53:0;3012.53-3054.96:0;3054.96-3097.39:0;3097.39-3139.82:0;3139.82-3182.25:0;3182.25-3224.68:0;3224.68-3267.11:0;3267.11-3309.54:0;3309.54-3351.97:0;3351.97-3394.4:0;3394.4-3436.83:0;3436.83-3479.26:0;3479.26-3521.69:0;3521.69-3564.12:0;3564.12-3606.55:0;3606.55-3648.98:0;3648.98-3691.41:0;3691.41-3733.84:0;3733.84-3776.27:0;3776.27-3818.7:0;3818.7-3861.13:0;3861.13-3903.56:0;3903.56-3945.99:0;3945.99-3988.42:0;3988.42-4030.85:0;4030.85-4073.28:0;4073.28-4115.71:0;4115.71-4158.14:0;4158.14-4200.57:0;4200.57-4243:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Congo, the Democratic Republic of the	12496.962962962964	27	26204	29935	0-272.75:1;272.75-545.5:1;545.5-818.25:0;818.25-1091:0;1091-1363.75:1;1363.75-1636.5:0;1636.5-1909.25:0;1909.25-2182:0;2182-2454.75:0;2454.75-2727.5:1;2727.5-3000.25:1;3000.25-3273:1;3273-3545.75:0;3545.75-3818.5:2;3818.5-4091.25:1;4091.25-4364:1;4364-4636.75:0;4636.75-4909.5:0;4909.5-5182.25:2;5182.25-5455:0;5455-5727.75:0;5727.75-6000.5:0;6000.5-6273.25:0;6273.25-6546:1;6546-6818.75:0;6818.75-7091.5:0;7091.5-7364.25:0;7364.25-7637:0;7637-7909.75:0;7909.75-8182.5:2;8182.5-8455.25:0;8455.25-8728:0;8728-9000.75:1;9000.75-9273.5:1;9273.5-9546.25:0;9546.25-9819:0;9819-10091.75:0;10091.75-10364.5:0;10364.5-10637.25:0;10637.25-10910:1;10910-11182.75:0;11182.75-11455.5:0;11455.5-11728.25:0;11728.25-12001:0;12001-12273.75:0;12273.75-12546.5:0;12546.5-12819.25:0;12819.25-13092:0;13092-13364.75:0;13364.75-13637.5:0;13637.5-13910.25:1;13910.25-14183:0;14183-14455.75:0;14455.75-14728.5:0;14728.5-15001.25:0;15001.25-15274:0;15274-15546.75:0;15546.75-15819.5:2;15819.5-16092.25:1;16092.25-16365:0;16365-16637.75:0;16637.75-16910.5:0;16910.5-17183.25:1;17183.25-17456:0;17456-17728.75:0;17728.75-18001.5:0;18001.5-18274.25:0;18274.25-18547:0;18547-18819.75:0;18819.75-19092.5:0;19092.5-19365.25:0;19365.25-19638:0;19638-19910.75:0;19910.75-20183.5:0;20183.5-20456.25:0;20456.25-20729:0;20729-21001.75:0;21001.75-21274.5:1;21274.5-21547.25:0;21547.25-21820:0;21820-22092.75:0;22092.75-22365.5:0;22365.5-22638.25:0;22638.25-22911:0;22911-23183.75:0;23183.75-23456.5:0;23456.5-23729.25:1;23729.25-24002:0;24002-24274.75:0;24274.75-24547.5:0;24547.5-24820.25:0;24820.25-25093:0;25093-25365.75:0;25365.75-25638.5:0;25638.5-25911.25:0;25911.25-26184:0;26184-26456.75:0;26456.75-26729.5:0;26729.5-27002.25:0;27002.25-27275:2
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Cook Islands	6808	2	7011	7011	0-4.06:1;4.06-8.12:0;8.12-12.18:0;12.18-16.24:0;16.24-20.3:0;20.3-24.36:0;24.36-28.42:0;28.42-32.48:0;32.48-36.54:0;36.54-40.6:0;40.6-44.66:0;44.66-48.72:0;48.72-52.78:0;52.78-56.84:0;56.84-60.9:0;60.9-64.96:0;64.96-69.02:0;69.02-73.08:0;73.08-77.14:0;77.14-81.2:0;81.2-85.26:0;85.26-89.32:0;89.32-93.38:0;93.38-97.44:0;97.44-101.5:0;101.5-105.56:0;105.56-109.62:0;109.62-113.68:0;113.68-117.74:0;117.74-121.8:0;121.8-125.86:0;125.86-129.92:0;129.92-133.98:0;133.98-138.04:0;138.04-142.1:0;142.1-146.16:0;146.16-150.22:0;150.22-154.28:0;154.28-158.34:0;158.34-162.4:0;162.4-166.46:0;166.46-170.52:0;170.52-174.58:0;174.58-178.64:0;178.64-182.7:0;182.7-186.76:0;186.76-190.82:0;190.82-194.88:0;194.88-198.94:0;198.94-203:0;203-207.06:0;207.06-211.12:0;211.12-215.18:0;215.18-219.24:0;219.24-223.3:0;223.3-227.36:0;227.36-231.42:0;231.42-235.48:0;235.48-239.54:0;239.54-243.6:0;243.6-247.66:0;247.66-251.72:0;251.72-255.78:0;255.78-259.84:0;259.84-263.9:0;263.9-267.96:0;267.96-272.02:0;272.02-276.08:0;276.08-280.14:0;280.14-284.2:0;284.2-288.26:0;288.26-292.32:0;292.32-296.38:0;296.38-300.44:0;300.44-304.5:0;304.5-308.56:0;308.56-312.62:0;312.62-316.68:0;316.68-320.74:0;320.74-324.8:0;324.8-328.86:0;328.86-332.92:0;332.92-336.98:0;336.98-341.04:0;341.04-345.1:0;345.1-349.16:0;349.16-353.22:0;353.22-357.28:0;357.28-361.34:0;361.34-365.4:0;365.4-369.46:0;369.46-373.52:0;373.52-377.58:0;377.58-381.64:0;381.64-385.7:0;385.7-389.76:0;389.76-393.82:0;393.82-397.88:0;397.88-401.94:0;401.94-406:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Costa Rica	4678.61127108186	2431	10211	15197	0-295.01:33;295.01-590.02:40;590.02-885.03:80;885.03-1180.04:209;1180.04-1475.05:188;1475.05-1770.06:152;1770.06-2065.07:144;2065.07-2360.08:117;2360.08-2655.09:105;2655.09-2950.1:114;2950.1-3245.11:97;3245.11-3540.12:81;3540.12-3835.13:83;3835.13-4130.14:86;4130.14-4425.15:64;4425.15-4720.16:70;4720.16-5015.17:52;5015.17-5310.18:60;5310.18-5605.19:54;5605.19-5900.2:35;5900.2-6195.21:32;6195.21-6490.22:44;6490.22-6785.23:27;6785.23-7080.24:31;7080.24-7375.25:36;7375.25-7670.26:17;7670.26-7965.27:22;7965.27-8260.28:22;8260.28-8555.29:18;8555.29-8850.3:23;8850.3-9145.31:16;9145.31-9440.32:13;9440.32-9735.33:9;9735.33-10030.34:8;10030.34-10325.35:15;10325.35-10620.36:11;10620.36-10915.37:11;10915.37-11210.38:8;11210.38-11505.39:7;11505.39-11800.4:5;11800.4-12095.41:10;12095.41-12390.42:8;12390.42-12685.43:11;12685.43-12980.44:8;12980.44-13275.45:11;13275.45-13570.46:1;13570.46-13865.47:5;13865.47-14160.48:4;14160.48-14455.49:4;14455.49-14750.5:3;14750.5-15045.51:4;15045.51-15340.52:6;15340.52-15635.53:9;15635.53-15930.54:6;15930.54-16225.55:2;16225.55-16520.56:4;16520.56-16815.57:4;16815.57-17110.58:3;17110.58-17405.59:3;17405.59-17700.6:5;17700.6-17995.61:2;17995.61-18290.62:1;18290.62-18585.63:2;18585.63-18880.64:2;18880.64-19175.65:1;19175.65-19470.66:1;19470.66-19765.67:5;19765.67-20060.68:2;20060.68-20355.69:4;20355.69-20650.7:5;20650.7-20945.71:1;20945.71-21240.72:1;21240.72-21535.73:1;21535.73-21830.74:5;21830.74-22125.75:1;22125.75-22420.76:0;22420.76-22715.77:2;22715.77-23010.78:3;23010.78-23305.79:1;23305.79-23600.8:3;23600.8-23895.81:2;23895.81-24190.82:1;24190.82-24485.83:2;24485.83-24780.84:0;24780.84-25075.85:2;25075.85-25370.86:2;25370.86-25665.87:1;25665.87-25960.88:4;25960.88-26255.89:2;26255.89-26550.9:1;26550.9-26845.91:1;26845.91-27140.92:1;27140.92-27435.93:5;27435.93-27730.94:2;27730.94-28025.95:1;28025.95-28320.96:2;28320.96-28615.97:6;28615.97-28910.98:0;28910.98-29205.99:2;29205.99-29501:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Croatia	3145.3025048169557	1038	6147	8914	0-262.1:25;262.1-524.2:32;524.2-786.3:13;786.3-1048.4:78;1048.4-1310.5:104;1310.5-1572.6:82;1572.6-1834.7:94;1834.7-2096.8:78;2096.8-2358.9:58;2358.9-2621:62;2621-2883.1:64;2883.1-3145.2:35;3145.2-3407.3:27;3407.3-3669.4:29;3669.4-3931.5:27;3931.5-4193.6:24;4193.6-4455.7:23;4455.7-4717.8:20;4717.8-4979.9:18;4979.9-5242:10;5242-5504.1:11;5504.1-5766.2:11;5766.2-6028.3:8;6028.3-6290.4:9;6290.4-6552.5:5;6552.5-6814.6:6;6814.6-7076.7:10;7076.7-7338.8:5;7338.8-7600.9:1;7600.9-7863:5;7863-8125.1:5;8125.1-8387.2:1;8387.2-8649.3:4;8649.3-8911.4:4;8911.4-9173.5:4;9173.5-9435.6:2;9435.6-9697.7:6;9697.7-9959.8:1;9959.8-10221.9:2;10221.9-10484:0;10484-10746.1:1;10746.1-11008.2:2;11008.2-11270.3:3;11270.3-11532.4:1;11532.4-11794.5:1;11794.5-12056.6:0;12056.6-12318.7:2;12318.7-12580.8:0;12580.8-12842.9:2;12842.9-13105:2;13105-13367.1:1;13367.1-13629.2:1;13629.2-13891.3:1;13891.3-14153.4:2;14153.4-14415.5:3;14415.5-14677.6:0;14677.6-14939.7:2;14939.7-15201.8:2;15201.8-15463.9:0;15463.9-15726:1;15726-15988.1:1;15988.1-16250.2:0;16250.2-16512.3:0;16512.3-16774.4:0;16774.4-17036.5:0;17036.5-17298.6:0;17298.6-17560.7:1;17560.7-17822.8:0;17822.8-18084.9:0;18084.9-18347:0;18347-18609.1:1;18609.1-18871.2:0;18871.2-19133.3:0;19133.3-19395.4:0;19395.4-19657.5:0;19657.5-19919.6:0;19919.6-20181.7:1;20181.7-20443.8:0;20443.8-20705.9:1;20705.9-20968:0;20968-21230.1:0;21230.1-21492.2:0;21492.2-21754.3:1;21754.3-22016.4:0;22016.4-22278.5:0;22278.5-22540.6:1;22540.6-22802.7:0;22802.7-23064.8:0;23064.8-23326.9:0;23326.9-23589:0;23589-23851.1:0;23851.1-24113.2:0;24113.2-24375.3:0;24375.3-24637.4:0;24637.4-24899.5:0;24899.5-25161.6:0;25161.6-25423.7:0;25423.7-25685.8:0;25685.8-25947.9:0;25947.9-26210:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Cuba	15770.375	8	24402	24402	0-162.9:1;162.9-325.8:0;325.8-488.7:0;488.7-651.6:1;651.6-814.5:0;814.5-977.4:0;977.4-1140.3:0;1140.3-1303.2:0;1303.2-1466.1:0;1466.1-1629:0;1629-1791.9:0;1791.9-1954.8:0;1954.8-2117.7:0;2117.7-2280.6:0;2280.6-2443.5:0;2443.5-2606.4:1;2606.4-2769.3:0;2769.3-2932.2:0;2932.2-3095.1:0;3095.1-3258:0;3258-3420.9:0;3420.9-3583.8:0;3583.8-3746.7:0;3746.7-3909.6:0;3909.6-4072.5:0;4072.5-4235.4:0;4235.4-4398.3:0;4398.3-4561.2:0;4561.2-4724.1:0;4724.1-4887:0;4887-5049.9:0;5049.9-5212.8:1;5212.8-5375.7:0;5375.7-5538.6:0;5538.6-5701.5:0;5701.5-5864.4:0;5864.4-6027.3:0;6027.3-6190.2:0;6190.2-6353.1:0;6353.1-6516:0;6516-6678.9:0;6678.9-6841.8:1;6841.8-7004.7:0;7004.7-7167.6:0;7167.6-7330.5:0;7330.5-7493.4:0;7493.4-7656.3:0;7656.3-7819.2:0;7819.2-7982.1:0;7982.1-8145:0;8145-8307.9:0;8307.9-8470.8:0;8470.8-8633.7:0;8633.7-8796.6:0;8796.6-8959.5:0;8959.5-9122.4:0;9122.4-9285.3:0;9285.3-9448.2:0;9448.2-9611.1:0;9611.1-9774:0;9774-9936.9:0;9936.9-10099.8:0;10099.8-10262.7:0;10262.7-10425.6:0;10425.6-10588.5:0;10588.5-10751.4:0;10751.4-10914.3:0;10914.3-11077.2:0;11077.2-11240.1:0;11240.1-11403:0;11403-11565.9:0;11565.9-11728.8:0;11728.8-11891.7:0;11891.7-12054.6:0;12054.6-12217.5:0;12217.5-12380.4:0;12380.4-12543.3:0;12543.3-12706.2:0;12706.2-12869.1:0;12869.1-13032:0;13032-13194.9:0;13194.9-13357.8:0;13357.8-13520.7:0;13520.7-13683.6:0;13683.6-13846.5:0;13846.5-14009.4:0;14009.4-14172.3:0;14172.3-14335.2:0;14335.2-14498.1:0;14498.1-14661:0;14661-14823.9:0;14823.9-14986.8:1;14986.8-15149.7:0;15149.7-15312.6:1;15312.6-15475.5:0;15475.5-15638.4:0;15638.4-15801.3:0;15801.3-15964.2:0;15964.2-16127.1:0;16127.1-16290:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Cyprus	3870.6439909297051	441	8201	12026	0-264.53:13;264.53-529.06:24;529.06-793.59:16;793.59-1058.12:6;1058.12-1322.65:35;1322.65-1587.18:48;1587.18-1851.71:27;1851.71-2116.24:27;2116.24-2380.77:19;2380.77-2645.3:18;2645.3-2909.83:19;2909.83-3174.36:15;3174.36-3438.89:13;3438.89-3703.42:16;3703.42-3967.95:14;3967.95-4232.48:13;4232.48-4497.01:12;4497.01-4761.54:4;4761.54-5026.07:6;5026.07-5290.6:5;5290.6-5555.13:7;5555.13-5819.66:7;5819.66-6084.19:7;6084.19-6348.72:4;6348.72-6613.25:5;6613.25-6877.78:3;6877.78-7142.31:2;7142.31-7406.84:0;7406.84-7671.37:6;7671.37-7935.9:3;7935.9-8200.43:3;8200.43-8464.96:2;8464.96-8729.49:4;8729.49-8994.02:1;8994.02-9258.55:1;9258.55-9523.08:2;9523.08-9787.61:1;9787.61-10052.14:2;10052.14-10316.67:2;10316.67-10581.2:3;10581.2-10845.73:0;10845.73-11110.26:1;11110.26-11374.79:1;11374.79-11639.32:1;11639.32-11903.85:0;11903.85-12168.38:2;12168.38-12432.91:2;12432.91-12697.44:1;12697.44-12961.97:3;12961.97-13226.5:0;13226.5-13491.03:1;13491.03-13755.56:0;13755.56-14020.09:0;14020.09-14284.62:1;14284.62-14549.15:0;14549.15-14813.68:0;14813.68-15078.21:0;15078.21-15342.74:0;15342.74-15607.27:1;15607.27-15871.8:0;15871.8-16136.33:0;16136.33-16400.86:0;16400.86-16665.39:2;16665.39-16929.92:0;16929.92-17194.45:0;17194.45-17458.98:0;17458.98-17723.51:1;17723.51-17988.04:0;17988.04-18252.57:1;18252.57-18517.1:0;18517.1-18781.63:1;18781.63-19046.16:0;19046.16-19310.69:0;19310.69-19575.22:0;19575.22-19839.75:0;19839.75-20104.28:2;20104.28-20368.81:0;20368.81-20633.34:0;20633.34-20897.87:0;20897.87-21162.4:1;21162.4-21426.93:0;21426.93-21691.46:0;21691.46-21955.99:0;21955.99-22220.52:0;22220.52-22485.05:0;22485.05-22749.58:0;22749.58-23014.11:1;23014.11-23278.64:1;23278.64-23543.17:0;23543.17-23807.7:0;23807.7-24072.23:0;24072.23-24336.76:0;24336.76-24601.29:0;24601.29-24865.82:0;24865.82-25130.35:0;25130.35-25394.88:0;25394.88-25659.41:0;25659.41-25923.94:0;25923.94-26188.47:0;26188.47-26453:2
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Czech Republic	2874.1252176242133	7467	5427	7713	0-294.77:229;294.77-589.54:310;589.54-884.31:129;884.31-1179.08:819;1179.08-1473.85:1066;1473.85-1768.62:772;1768.62-2063.39:629;2063.39-2358.16:522;2358.16-2652.93:430;2652.93-2947.7:365;2947.7-3242.47:327;3242.47-3537.24:253;3537.24-3832.01:211;3832.01-4126.78:166;4126.78-4421.55:183;4421.55-4716.32:108;4716.32-5011.09:101;5011.09-5305.86:81;5305.86-5600.63:86;5600.63-5895.4:61;5895.4-6190.17:43;6190.17-6484.94:38;6484.94-6779.71:39;6779.71-7074.48:48;7074.48-7369.25:38;7369.25-7664.02:41;7664.02-7958.79:33;7958.79-8253.56:23;8253.56-8548.33:17;8548.33-8843.1:24;8843.1-9137.87:17;9137.87-9432.64:18;9432.64-9727.41:14;9727.41-10022.18:9;10022.18-10316.95:9;10316.95-10611.72:11;10611.72-10906.49:6;10906.49-11201.26:10;11201.26-11496.03:9;11496.03-11790.8:9;11790.8-12085.57:17;12085.57-12380.34:4;12380.34-12675.11:6;12675.11-12969.88:4;12969.88-13264.65:6;13264.65-13559.42:2;13559.42-13854.19:6;13854.19-14148.96:5;14148.96-14443.73:6;14443.73-14738.5:3;14738.5-15033.27:5;15033.27-15328.04:6;15328.04-15622.81:4;15622.81-15917.58:1;15917.58-16212.35:2;16212.35-16507.12:5;16507.12-16801.89:3;16801.89-17096.66:1;17096.66-17391.43:4;17391.43-17686.2:3;17686.2-17980.97:1;17980.97-18275.74:2;18275.74-18570.51:3;18570.51-18865.28:5;18865.28-19160.05:2;19160.05-19454.82:2;19454.82-19749.59:3;19749.59-20044.36:4;20044.36-20339.13:3;20339.13-20633.9:1;20633.9-20928.67:2;20928.67-21223.44:2;21223.44-21518.21:2;21518.21-21812.98:2;21812.98-22107.75:3;22107.75-22402.52:1;22402.52-22697.29:4;22697.29-22992.06:2;22992.06-23286.83:1;23286.83-23581.6:2;23581.6-23876.37:0;23876.37-24171.14:0;24171.14-24465.91:2;24465.91-24760.68:1;24760.68-25055.45:3;25055.45-25350.22:1;25350.22-25644.99:0;25644.99-25939.76:1;25939.76-26234.53:3;26234.53-26529.3:1;26529.3-26824.07:0;26824.07-27118.84:2;27118.84-27413.61:0;27413.61-27708.38:0;27708.38-28003.15:1;28003.15-28297.92:2;28297.92-28592.69:1;28592.69-28887.46:0;28887.46-29182.23:3;29182.23-29477:2
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	C�te d'Ivoire	5634.8730158730159	252	11307	17717	0-298.08:7;298.08-596.16:9;596.16-894.24:5;894.24-1192.32:7;1192.32-1490.4:12;1490.4-1788.48:14;1788.48-2086.56:9;2086.56-2384.64:14;2384.64-2682.72:9;2682.72-2980.8:11;2980.8-3278.88:7;3278.88-3576.96:6;3576.96-3875.04:6;3875.04-4173.12:9;4173.12-4471.2:12;4471.2-4769.28:5;4769.28-5067.36:10;5067.36-5365.44:7;5365.44-5663.52:6;5663.52-5961.6:6;5961.6-6259.68:10;6259.68-6557.76:5;6557.76-6855.84:4;6855.84-7153.92:3;7153.92-7452:1;7452-7750.08:2;7750.08-8048.16:3;8048.16-8346.24:4;8346.24-8644.32:2;8644.32-8942.4:1;8942.4-9240.48:2;9240.48-9538.56:2;9538.56-9836.64:3;9836.64-10134.72:6;10134.72-10432.8:2;10432.8-10730.88:3;10730.88-11028.96:2;11028.96-11327.04:2;11327.04-11625.12:1;11625.12-11923.2:0;11923.2-12221.28:1;12221.28-12519.36:1;12519.36-12817.44:2;12817.44-13115.52:0;13115.52-13413.6:0;13413.6-13711.68:1;13711.68-14009.76:0;14009.76-14307.84:1;14307.84-14605.92:0;14605.92-14904:0;14904-15202.08:0;15202.08-15500.16:0;15500.16-15798.24:0;15798.24-16096.32:2;16096.32-16394.4:1;16394.4-16692.48:0;16692.48-16990.56:0;16990.56-17288.64:1;17288.64-17586.72:0;17586.72-17884.8:2;17884.8-18182.88:0;18182.88-18480.96:1;18480.96-18779.04:1;18779.04-19077.12:0;19077.12-19375.2:0;19375.2-19673.28:0;19673.28-19971.36:0;19971.36-20269.44:0;20269.44-20567.52:2;20567.52-20865.6:1;20865.6-21163.68:1;21163.68-21461.76:0;21461.76-21759.84:0;21759.84-22057.92:1;22057.92-22356:0;22356-22654.08:0;22654.08-22952.16:0;22952.16-23250.24:1;23250.24-23548.32:0;23548.32-23846.4:0;23846.4-24144.48:0;24144.48-24442.56:0;24442.56-24740.64:0;24740.64-25038.72:0;25038.72-25336.8:1;25336.8-25634.88:0;25634.88-25932.96:0;25932.96-26231.04:0;26231.04-26529.12:0;26529.12-26827.2:0;26827.2-27125.28:0;27125.28-27423.36:0;27423.36-27721.44:0;27721.44-28019.52:0;28019.52-28317.6:0;28317.6-28615.68:1;28615.68-28913.76:0;28913.76-29211.84:0;29211.84-29509.92:0;29509.92-29808:1
4/11/2013 2:00:00 AM -> 4/11/2013 11:00:00 PM	Denmark	2073.483485829056	8962	3804	5592	0-294.01:629;294.01-588.02:640;588.02-882.03:318;882.03-1176.04:1689;1176.04-1470.05:1464;1470.05-1764.06:941;1764.06-2058.07:694;2058.07-2352.08:503;2352.08-2646.09:362;2646.09-2940.1:292;2940.1-3234.11:245;3234.11-3528.12:148;3528.12-3822.13:176;3822.13-4116.14:95;4116.14-4410.15:98;4410.15-4704.16:60;4704.16-4998.17:54;4998.17-5292.18:62;5292.18-5586.19:49;5586.19-5880.2:47;5880.2-6174.21:25;6174.21-6468.22:28;6468.22-6762.23:29;6762.23-7056.24:28;7056.24-7350.25:23;7350.25-7644.26:24;7644.26-7938.27:21;7938.27-8232.28:17;8232.28-8526.29:6;8526.29-8820.3:6;8820.3-9114.31:13;9114.31-9408.32:13;9408.32-9702.33:7;9702.33-9996.34:8;9996.34-10290.35:6;10290.35-10584.36:9;10584.36-10878.37:7;10878.37-11172.38:4;11172.38-11466.39:8;11466.39-11760.4:5;11760.4-12054.41:4;12054.41-12348.42:4;12348.42-12642.43:4;12642.43-12936.44:2;12936.44-13230.45:3;13230.45-13524.46:4;13524.46-13818.47:2;13818.47-14112.48:5;14112.48-14406.49:4;14406.49-14700.5:2;14700.5-14994.51:5;14994.51-15288.52:6;15288.52-15582.53:3;15582.53-15876.54:4;15876.54-16170.55:2;16170.55-16464.56:3;16464.56-16758.57:5;16758.57-17052.58:3;17052.58-17346.59:2;17346.59-17640.6:2;17640.6-17934.61:0;17934.61-18228.62:4;18228.62-18522.63:2;18522.63-18816.64:0;18816.64-19110.65:1;19110.65-19404.66:0;19404.66-19698.67:0;19698.67-19992.68:4;19992.68-20286.69:1;20286.69-20580.7:2;20580.7-20874.71:1;20874.71-21168.72:2;21168.72-21462.73:0;21462.73-21756.74:2;21756.74-22050.75:1;22050.75-22344.76:1;22344.76-22638.77:0;22638.77-22932.78:1;22932.78-23226.79:0;23226.79-23520.8:1;23520.8-23814.81:2;23814.81-24108.82:2;24108.82-24402.83:0;24402.83-24696.84:1;24696.84-24990.85:0;24990.85-25284.86:2;25284.86-25578.87:1;25578.87-25872.88:1;25872.88-26166.89:1;26166.89-26460.9:0;26460.9-26754.91:0;26754.91-27048.92:1;27048.92-27342.93:0;27342.93-27636.94:0;27636.94-27930.95:1;27930.95-28224.96:0;28224.96-28518.97:0;28518.97-28812.98:1;28812.98-29106.99:2;29106.99-29401:2
